gender,race/ethnicity,parental level of education,lunch,test preparation course,reading score,writing score
0.0,0.75,0.8,0.0,1.0,0.49397590361445787,0.5555555555555556
1.0,0.5,1.0,1.0,1.0,0.5903614457831325,0.6222222222222222
0.0,0.5,1.0,0.0,1.0,0.3975903614457832,0.45555555555555555
0.0,0.75,0.0,1.0,0.0,0.9036144578313253,0.9444444444444444
0.0,0.25,1.0,0.0,1.0,0.7710843373493976,0.7666666666666666
0.0,0.25,1.0,1.0,1.0,0.8674698795180723,0.7999999999999999
1.0,0.5,0.8,1.0,1.0,0.6867469879518073,0.5666666666666667
0.0,0.5,0.8,1.0,1.0,0.6867469879518073,0.7111111111111111
0.0,0.25,0.6000000000000001,0.0,0.0,0.6385542168674699,0.5777777777777777
1.0,0.5,0.2,0.0,1.0,0.49397590361445787,0.5
0.0,0.5,0.2,0.0,0.0,0.6867469879518073,0.7888888888888889
0.0,0.25,0.4,1.0,0.0,0.6385542168674699,0.6444444444444444
0.0,0.5,0.0,0.0,1.0,0.5301204819277109,0.5777777777777777
1.0,1.0,0.2,1.0,1.0,0.5421686746987953,0.5777777777777777
0.0,0.0,0.8,0.0,1.0,0.5180722891566265,0.5222222222222221
1.0,0.25,0.2,1.0,1.0,0.5180722891566265,0.5222222222222221
1.0,0.5,0.4,1.0,1.0,0.45783132530120485,0.4333333333333334
1.0,1.0,0.0,1.0,0.0,0.783132530120482,0.8666666666666667
1.0,0.0,0.8,1.0,1.0,0.3132530120481928,0.3666666666666667
0.0,0.5,0.8,0.0,1.0,0.6626506024096386,0.6666666666666666
0.0,1.0,0.4,0.0,0.0,0.6987951807228916,0.7
1.0,0.25,0.4,1.0,1.0,0.37349397590361455,0.45555555555555555
0.0,0.5,0.0,1.0,1.0,0.5662650602409639,0.6666666666666666
0.0,0.0,0.4,1.0,0.0,0.783132530120482,0.7666666666666666
0.0,1.0,0.0,1.0,0.0,0.6987951807228916,0.7444444444444445
1.0,0.75,0.2,1.0,1.0,0.674698795180723,0.6888888888888889
0.0,0.75,0.2,1.0,1.0,0.783132530120482,0.7666666666666666
0.0,0.5,0.8,0.0,1.0,0.5662650602409639,0.6222222222222222
0.0,1.0,0.8,0.0,0.0,0.855421686746988,0.8333333333333334
1.0,0.75,0.2,1.0,1.0,0.3855421686746988,0.41111111111111115
